groups,n_features,cv_rmse_mean,cv_rmse_std,fold_rmses
"['base_numeric', 'categorical_ohe', 'interactions']",6,0.011000208797834397,6.624328823582686e-05,"[0.011037538546896574, 0.011022569812389143, 0.011091477634178833, 0.010912021910331438, 0.010937436085376001]"
"['base_numeric', 'time', 'categorical_ohe', 'interactions', 'text/nlp']",6,0.011000208797834397,6.624328823582686e-05,"[0.011037538546896574, 0.011022569812389143, 0.011091477634178833, 0.010912021910331438, 0.010937436085376001]"
"['base_numeric', 'time', 'categorical_ohe', 'interactions', 'target_encodings', 'text/nlp']",6,0.011000208797834397,6.624328823582686e-05,"[0.011037538546896574, 0.011022569812389143, 0.011091477634178833, 0.010912021910331438, 0.010937436085376001]"
"['base_numeric', 'categorical_ohe', 'interactions', 'target_encodings', 'text/nlp']",6,0.011000208797834397,6.624328823582686e-05,"[0.011037538546896574, 0.011022569812389143, 0.011091477634178833, 0.010912021910331438, 0.010937436085376001]"
"['base_numeric', 'time', 'categorical_ohe', 'interactions', 'target_encodings']",6,0.011000208797834397,6.624328823582686e-05,"[0.011037538546896574, 0.011022569812389143, 0.011091477634178833, 0.010912021910331438, 0.010937436085376001]"
"['base_numeric', 'categorical_ohe', 'interactions', 'text/nlp']",6,0.011000208797834397,6.624328823582686e-05,"[0.011037538546896574, 0.011022569812389143, 0.011091477634178833, 0.010912021910331438, 0.010937436085376001]"
"['base_numeric', 'categorical_ohe', 'interactions', 'target_encodings']",6,0.011000208797834397,6.624328823582686e-05,"[0.011037538546896574, 0.011022569812389143, 0.011091477634178833, 0.010912021910331438, 0.010937436085376001]"
"['base_numeric', 'time', 'categorical_ohe', 'interactions']",6,0.011000208797834397,6.624328823582686e-05,"[0.011037538546896574, 0.011022569812389143, 0.011091477634178833, 0.010912021910331438, 0.010937436085376001]"
"['time', 'categorical_ohe', 'interactions', 'text/nlp']",4,0.01101112821839022,6.752538717286972e-05,"[0.011047526002471556, 0.011031502861797354, 0.011106599635790871, 0.010921691283921082, 0.010948321307970235]"
"['categorical_ohe', 'interactions']",4,0.01101112821839022,6.752538717286972e-05,"[0.011047526002471556, 0.011031502861797354, 0.011106599635790871, 0.010921691283921082, 0.010948321307970235]"
"['categorical_ohe', 'interactions', 'target_encodings']",4,0.01101112821839022,6.752538717286972e-05,"[0.011047526002471556, 0.011031502861797354, 0.011106599635790871, 0.010921691283921082, 0.010948321307970235]"
"['categorical_ohe', 'interactions', 'text/nlp']",4,0.01101112821839022,6.752538717286972e-05,"[0.011047526002471556, 0.011031502861797354, 0.011106599635790871, 0.010921691283921082, 0.010948321307970235]"
"['time', 'categorical_ohe', 'interactions']",4,0.01101112821839022,6.752538717286972e-05,"[0.011047526002471556, 0.011031502861797354, 0.011106599635790871, 0.010921691283921082, 0.010948321307970235]"
"['categorical_ohe', 'interactions', 'target_encodings', 'text/nlp']",4,0.01101112821839022,6.752538717286972e-05,"[0.011047526002471556, 0.011031502861797354, 0.011106599635790871, 0.010921691283921082, 0.010948321307970235]"
"['time', 'categorical_ohe', 'interactions', 'target_encodings', 'text/nlp']",4,0.01101112821839022,6.752538717286972e-05,"[0.011047526002471556, 0.011031502861797354, 0.011106599635790871, 0.010921691283921082, 0.010948321307970235]"
"['time', 'categorical_ohe', 'interactions', 'target_encodings']",4,0.01101112821839022,6.752538717286972e-05,"[0.011047526002471556, 0.011031502861797354, 0.011106599635790871, 0.010921691283921082, 0.010948321307970235]"
"['base_numeric', 'categorical_ohe', 'target_encodings']",4,0.011019680270166438,6.541176638072173e-05,"[0.011050292739729003, 0.011049908791720756, 0.011108914588889017, 0.010932022271599185, 0.010957262958894223]"
"['base_numeric', 'categorical_ohe', 'target_encodings', 'text/nlp']",4,0.011019680270166438,6.541176638072173e-05,"[0.011050292739729003, 0.011049908791720756, 0.011108914588889017, 0.010932022271599185, 0.010957262958894223]"
