groups,n_features,cv_rmse_mean,cv_rmse_std,fold_rmses
"['booleans', 'base_numeric', 'composite_risk']",11,0.0560448212580834,0.00011008661332989736,"[0.05618682145017378, 0.05608956418036678, 0.05610698123223978, 0.055962731798263186, 0.05587800762937347]"
"['categorical', 'booleans', 'base_numeric', 'composite_risk', 'time']",16,0.056046910554374975,0.00010979226060843988,"[0.05619107960176412, 0.056074957060627977, 0.05612352501000995, 0.05595309309979187, 0.05589189799968095]"
"['booleans', 'base_numeric', 'composite_risk', 'time']",12,0.05604886867299304,0.00010107307299721213,"[0.05617822157205657, 0.056084896517288416, 0.05611509338873883, 0.05596341717937623, 0.05590271470750516]"
"['booleans', 'base_numeric', 'speed_o_curve', 'composite_risk', 'logs']",13,0.056049848271784955,0.00011267302370346479,"[0.05620301952362164, 0.05608661803159075, 0.056115604284201225, 0.05595070748085873, 0.05589329203865242]"
"['categorical', 'booleans', 'base_numeric', 'composite_risk']",15,0.05605250102472185,0.00010062483649420136,"[0.0561964099175564, 0.0560780991313389, 0.05610891726102576, 0.055956247341371716, 0.05592283147231646]"
"['booleans', 'base_numeric', 'speed_o_curve', 'composite_risk', 'time']",13,0.05605281814678829,0.00010263795535334233,"[0.056184469160548776, 0.05608818891308187, 0.05612077264995956, 0.05596586627478044, 0.05590479373557078]"
"['booleans', 'base_numeric', 'composite_risk', 'time', 'logs']",13,0.05605529905417846,9.834033760366544e-05,"[0.05619483444111079, 0.056076207272896895, 0.05611196526901465, 0.05597561831235495, 0.055917869975515046]"
"['booleans', 'base_numeric', 'composite_risk', 'logs']",12,0.05605807964584636,0.00010121727821571998,"[0.056197272570219975, 0.056090750174117354, 0.056111832804566934, 0.055980212889209346, 0.05591032979111817]"
"['categorical', 'booleans', 'base_numeric', 'speed_o_curve', 'composite_risk']",16,0.056059682008793535,0.00011154435365015553,"[0.056208635193545346, 0.05609871083350896, 0.0561255457889212, 0.05596393228972086, 0.05590158593827128]"
"['categorical', 'booleans', 'base_numeric', 'time']",13,0.056060315593525,0.00010629345842556569,"[0.05620277808463227, 0.05609261691278827, 0.056125854951685435, 0.05597166278741532, 0.055908665231103744]"
"['categorical', 'booleans', 'base_numeric', 'composite_risk', 'logs']",16,0.05606371994813667,0.00011006360402181369,"[0.05621952079746915, 0.05609137816578339, 0.05612705728183176, 0.055963400455115386, 0.05591724304048366]"
"['booleans', 'base_numeric', 'speed_o_curve', 'composite_risk']",12,0.05606376542365447,0.00010620623970959831,"[0.05621400632354547, 0.05608606353168217, 0.056127566678018055, 0.055971386117416685, 0.05591980446760996]"
"['categorical', 'booleans', 'base_numeric']",12,0.05607303008997457,0.00010432052678773433,"[0.056214389203415496, 0.0561017598198832, 0.05614135099332495, 0.05596992980785728, 0.0559377206253919]"
"['categorical', 'booleans', 'base_numeric', 'logs']",13,0.05607462394640703,0.00010866400441582402,"[0.05622440166290735, 0.056101825147302505, 0.05614271780185563, 0.05597657178392129, 0.05592760333604841]"
"['categorical', 'booleans', 'base_numeric', 'speed_o_curve']",13,0.05607462394640703,0.00010866400441582402,"[0.05622440166290735, 0.056101825147302505, 0.05614271780185563, 0.05597657178392129, 0.05592760333604841]"
"['categorical', 'booleans', 'base_numeric', 'speed_o_curve', 'logs']",14,0.056078672658763117,0.00010351598564169332,"[0.056225824267100995, 0.05610971012075266, 0.05613128378344391, 0.05599118833713568, 0.05593535678538236]"
"['categorical', 'booleans', 'base_numeric', 'time', 'logs']",14,0.05607968198715964,0.00010557969259992651,"[0.05622341989193727, 0.05609928562984518, 0.05615009105468783, 0.0559975439620595, 0.0559280693972684]"
"['categorical', 'booleans', 'base_numeric', 'speed_o_curve', 'time']",14,0.05608637993723535,0.0001070782647385859,"[0.05623618109933135, 0.056119371957290054, 0.05614642452346238, 0.05598379545155057, 0.05594612665454241]"
"['booleans', 'base_numeric', 'composite_risk', 'logs', 'interactions']",16,0.056089520606163124,9.447178165140285e-05,"[0.05622463947316604, 0.056122433340352315, 0.0561341433771298, 0.05600166094106151, 0.05596472589910598]"
"['booleans', 'base_numeric', 'composite_risk', 'time', 'interactions']",16,0.05609462442877129,0.00010266606265938298,"[0.05623699555631884, 0.05612249171950181, 0.05615752864591069, 0.0559941899245561, 0.055961916297568984]"
"['booleans', 'base_numeric', 'speed_o_curve', 'composite_risk', 'interactions']",16,0.056095128735414425,9.925838709000641e-05,"[0.05622730489189247, 0.05613739433815293, 0.05614902435717384, 0.05600365918259823, 0.05595826090725469]"
"['booleans', 'base_numeric', 'composite_risk', 'interactions']",15,0.05609546460874857,9.94454645898153e-05,"[0.05623204369637304, 0.05611709027582168, 0.05616153465761905, 0.05600345977224113, 0.055963194641687926]"
"['categorical', 'booleans', 'base_numeric', 'composite_risk', 'interactions']",19,0.05611363247341149,0.00010043366787133422,"[0.05626179157045609, 0.056139714280562, 0.056162201608108905, 0.05601986423298293, 0.05598459067494752]"
"['categorical', 'booleans', 'base_numeric', 'interactions']",16,0.05613015368803278,0.00010228835753237077,"[0.05628035210357763, 0.05615795608457018, 0.05618073436336927, 0.05602808690103067, 0.05600363898761613]"
"['categorical', 'booleans', 'base_numeric', 'logs', 'interactions']",17,0.056136697921464265,9.578784714541492e-05,"[0.05628308391456389, 0.05616130762562139, 0.056176149872629956, 0.056039885368716326, 0.056023062825789775]"
"['categorical', 'booleans', 'base_numeric', 'speed_o_curve', 'interactions']",17,0.056136697921464265,9.578784714541492e-05,"[0.05628308391456389, 0.05616130762562139, 0.056176149872629956, 0.056039885368716326, 0.056023062825789775]"
"['categorical', 'booleans', 'base_numeric', 'time', 'interactions']",17,0.056138739348961665,9.606975333519615e-05,"[0.056280301111130214, 0.056158485379301556, 0.05619153656538743, 0.056029527467350154, 0.056033846221638935]"
"['base_numeric', 'composite_risk', 'time']",8,0.05616199108873991,0.00010312787268737747,"[0.05629751005198484, 0.05618918654774428, 0.05623214109922583, 0.056077479572928246, 0.05601363817181638]"
"['base_numeric', 'composite_risk']",7,0.056168654090979486,0.00010973257078501565,"[0.056317505306047205, 0.056196292544977766, 0.056236430119402096, 0.05608433103974426, 0.05600871144472612]"
"['base_numeric', 'speed_o_curve', 'composite_risk', 'logs']",9,0.05617360566118009,0.00012237077102336186,"[0.0563395623388104, 0.05619499609054798, 0.056256431455168246, 0.05608045397145986, 0.05599658444991397]"
"['base_numeric', 'composite_risk', 'time', 'logs']",9,0.05617466715514137,0.0001120592910076411,"[0.0563327009116419, 0.056185515292020816, 0.05624930664851029, 0.056088061023105526, 0.056017751900428285]"
"['categorical', 'base_numeric', 'composite_risk', 'time']",12,0.05617524100674006,0.0001108854999883216,"[0.05631993419250641, 0.05619643023879834, 0.05625687881515316, 0.05608886408513139, 0.05601409770211098]"
"['categorical', 'base_numeric', 'composite_risk']",11,0.05617540414403138,0.00010811896282624604,"[0.056319591240154766, 0.05620233868776442, 0.05624792322245713, 0.05608515707851228, 0.05602201049126835]"
"['base_numeric', 'speed_o_curve', 'composite_risk']",8,0.05617626078066,0.00010949343547922274,"[0.05632759493543338, 0.056199590315597146, 0.05624415324457664, 0.05609013692106129, 0.05601982848663154]"
"['base_numeric', 'speed_o_curve', 'composite_risk', 'time']",9,0.05617774310813441,0.00011169553939183661,"[0.056325667875867756, 0.05619838920914074, 0.05625809870501087, 0.05608955834423708, 0.05601700140641566]"
"['base_numeric', 'composite_risk', 'logs']",8,0.056177925429971284,0.00011212143718446405,"[0.05633156706925062, 0.05620441290595754, 0.056246741687642265, 0.05609104374644185, 0.05601586174056419]"
"['categorical', 'base_numeric', 'speed_o_curve', 'composite_risk', 'logs']",13,0.05617849921984105,0.00011219576471366998,"[0.056323032054153795, 0.05620896383654068, 0.05625770944348935, 0.05608700847402696, 0.05601578229099447]"
"['categorical', 'base_numeric', 'time']",9,0.05617925812037392,0.0001085826940586189,"[0.05632742432064251, 0.05620206659965857, 0.05625322057704598, 0.056079261893791955, 0.05603431721073061]"
"['categorical', 'base_numeric', 'composite_risk', 'logs']",12,0.05618321759682526,0.00010903183961722157,"[0.05634047264848013, 0.05621111479912155, 0.05623834607231807, 0.05609490286488113, 0.05603125159932544]"
"['categorical', 'base_numeric', 'speed_o_curve', 'composite_risk']",12,0.05618338668336655,0.00010980791254219746,"[0.056339199461812706, 0.056213750285421894, 0.05624083961801468, 0.05609405938277619, 0.056029084668807294]"
"['categorical', 'base_numeric']",8,0.05618384063826245,0.00010849304861304933,"[0.056326322858923396, 0.05621079487591779, 0.05625876355570965, 0.056095988767338255, 0.056027333133423125]"
